token,label,source of relation
Conad,"[21569]NER_ORG, [21579]DBPEDIA",
",",,
colpo,,
numero,,
due,,
.,,
Dopo,,
il,,
maxi,,
furto,,
di,,
50mila,,
euro,,
al,,
supermercato,,
di,,
Cibeno,,
Pile,,
",",,
in,,
via,[21570]NER_LOC,
Roosevelt,"[21570]NER_LOC, [21580]DBPEDIA",
",",,
nella,,
notte,,
tra,,
sabato,[21562]TE,
e,,
domenica,[21563]TE,
è,,
toccato,,
al,,
grande,,
magazzino,,
alimentare,,
che,,
ha,,
sede,,
in,,
via,[21571]NER_LOC,
Carlo,[21571]NER_LOC,
Marx,"[21571]NER_LOC, [21581]DBPEDIA",
.,,
Ma,,
questa,,
volta,,
",",,
per,,
i,,
ladri,,
",",,
è,,
andata,,
ancora,,
meglio,,
dal,,
punto,,
di,,
vista,,
economico,,
.,,
Il,,
bottino,,
",",,
infatti,,
",",,
ammonta,,
a,,
ben,,
80mila,,
euro,,
",",,
come,,
ha,,
confermato,,
il,,
titolare,,
del,,
Conad,"[21572]NER_ORG, [21582]DBPEDIA",
di,,
via,[21573]NER_LOC,
Marx,"[21573]NER_LOC, [21583]DBPEDIA",
",",,
Irio,[21574]NER_PER,
Rinaldi,[21574]NER_PER,
.,,
Il,,
colpo,,
sembra,,
la,,
fotocopia,,
di,,
quello,,
di,,
un,,
paio,,
di,,
settimane,,
fa,,
a,,
Cibeno,[21575]NER_LOC,
Pile,[21575]NER_LOC,
.,,
Stessa,,
procedura,,
e,,
probabilmente,,
stesso,,
esplosivo,,
",",,
anche,,
se,,
su,,
questo,,
aspetto,,
bisognerà,,
attendere,,
l,,
',,
esito,,
delle,,
indagini,,
della,,
Polizia,[21576]NER_ORG,
che,,
si,,
sta,,
occupando,,
del,,
caso,,
.,,
Insomma,,
vi,,
sono,,
molte,,
probabilità,,
che,,
si,,
tratti,,
della,,
stessa,,
banda,,
e,,
",",,
visti,,
i,,
precedenti,,
",",,
non,,
è,,
escluso,,
che,,
i,,
malviventi,,
tornino,,
presto,,
in,,
azione,,
in,,
un,,
altro,,
supermercato,,
della,,
nostra,,
città,,
.,,
I,,
ladri,,
sono,,
entrati,,
in,,
azione,,
verso,[21564]TE,
le,[21564]TE,
4,[21564]TE,
.,[21564]TE,
30,[21564]TE,
",",,
hanno,,
rotto,,
il,,
vetro,,
della,,
finestra,,
sopra,,
la,,
cassaforte,,
e,,
dal,,
