token,label,source of relation
vignola,,
.,,
Due,,
negozi,,
colpiti,,
da,,
un,,
furto,,
nella,,
notte,,
tra,,
domenica,[155052]TE,
e,,
lunedì,,
in,,
via,[155054]NER_LOC,
De,[155054]NER_LOC,
Amicis,[155054]NER_LOC,
",",,
dove,,
verso,[155053]TE,
le,[155053]TE,
4,[155053]TE,
sono,,
state,,
sfondate,,
",",,
forse,,
con,,
un,,
martello,,
",",,
le,,
vetrine,,
del,,
parrucchiere,,
Greese,,
e,,
della,,
rosticceria,,
srilankese,,
Konda,,
',,
s,,
",",,
vicino,,
all,,
',,
Eurospin,[155055]NER_ORG,
.,,
Ad,,
accorgersene,,
i,,
residenti,,
dell,,
',,
appartamento,,
sopra,,
la,,
rosticceria,,
",",,
che,,
hanno,,
allertato,,
le,,
forze,,
dell,,
',,
ordine,,
:,,
«,,
Alle,,
4,,
l,,
',,
inquilino,,
del,,
piano,,
di,,
sopra,,
mi,,
ha,,
chiamato,,
per,,
dirmi,,
che,,
aveva,,
sentito,,
un,,
rumore,,
e,,
che,,
aveva,,
poi,,
visto,,
due,,
uomini,,
scappare,,
con,,
il,,
registratore,,
di,,
cassa,,
–,,
spiega,,
il,,
proprietario,,
-,,
Quando,,
sono,,
arrivato,,
i,,
carabinieri,[155056]NER_ORG,
erano,,
già,,
qui,,
.,,
Nel,,
registratore,,
non,,
c,,
',,
erano,,
soldi,,
",",,
ma,,
comunque,,
tra,,
il,,
vetro,,
della,,
porta,,
e,,
la,,
cassa,,
i,,
danni,,
sono,,
di,,
2mila,,
euro,,
»,,
.,,
Prima,,
volta,,
che,,
si,,
verifica,,
un,,
episodio,,
del,,
genere,,
:,,
«,,
Non,,
lasciamo,,
mai,,
soldi,,
in,,
cassa,,
e,,
alla,,
fine,,
non,,
hanno,,
guadagnato,,
nulla,,
dal,,
furto,,
",",,
quindi,,
non,,
penso,,
che,,
ritorneranno,,
»,,
",",,
racconta,,
ancora,,
l,,
',,
uomo,,
.,,
Anche,,
nel,,
negozio,,
di,,
parrucchiere,,
il,,
colpo,,
non,,
ha,,
portato,,
grandi,,
somme,,
",",,
dato,,
che,,
l,,
',,
attività,,
era,,
chiusa,,
per,,
ferie,,
",",,
come,,
spiega,,
la,,
proprietaria,,
:,,
«,,
Sono,,
in,,
vacanza,,
.,,
I,,
testimoni,,
hanno,,
fornito,,
il,,
numero,,
di,,
targa,,
ai,,
carabinieri,[155057]NER_ORG,
",",,
i,,
quali,,
hanno,,
verificato,,
che,,
l,,
',,
auto,,
era,,
stata,,
rubata,,
.,,
Hanno,,
trovato,,
circa,,
250,,
euro,,
e,,
portato,,
via,,
un,,
paio,,
di,,
attrezzature,,
dal,,
valore,,
totale,,
di,,
sei,,
o,,
settecento,,
euro,,
»,,
.,,
Un,,
colpo,,
che,,
ha,,
portato,,
più,,
danni,,
ai,,
proprietari,,
che,,
guadagni,,
ai,,
ladri,,
",",,
che,,
hanno,,
accuratamente,,
evitato,,
la,,
tabaccheria,,
interposta,,
tra,,
i,,
due,,
negozi,,
perché,,
dotata,,
di,,
sistema,,
di,,
videosorveglianza,,
.,,
—,,
Agata,,
Patanè,,
Armenia,[155058]NER_LOC,
.,,
BY,,
NC,,
ND,,
ALCUNI,,
DIRITTI,,
RISERVATI,,
.,,
