token,label,source of relation
Ha,,
parcheggiato,,
l,,
',,
automobile,,
davanti,,
a,,
casa,,
solo,,
qualche,,
minuto,,
per,,
sbrigare,,
una,,
commissione,,
",",,
ma,,
una,,
volta,,
uscito,,
ha,,
trovato,,
una,,
brutta,,
sorpresa,,
.,,
I,,
ladri,,
hanno,,
derubato,,
il,,
carpigiano,,
Sergio,"[51952]NER_PER, [51955]DBPEDIA",
Fontana,[51952]NER_PER,
",",,
residente,,
in,,
via,[51953]NER_LOC,
Andrea,"[51953]NER_LOC, [51956]DBPEDIA",
Costa,"[51953]NER_LOC, [51956]DBPEDIA",
",",,
in,,
pieno,,
centro,,
",",,
nel,,
pomeriggio,,
di,,
mercoledì,,
",",,
spaccando,,
il,,
vetro,,
della,,
sua,,
auto,,
e,,
portando,,
via,,
gli,,
oggetti,,
di,,
valore,,
che,,
si,,
trovavano,,
all,,
',,
interno,,
.,,
«,,
Ho,,
parcheggiato,,
la,,
mia,,
Citroen,[51954]NER_ORG,
davanti,,
a,,
casa,,
-,,
racconta,,
-,,
dentro,,
c,,
',,
erano,,
un,,
iPad,[51957]DBPEDIA,
",",,
tre,,
carte,,
di,,
credito,,
",",,
2,,
chiavette,,
usb,,
",",,
alcuni,,
dispositivi,,
“,,
token,,
”,,
per,,
homebanking,,
.,,
Il,,
furto,,
dev,,
',,
essere,,
avvenuto,,
intorno,,
alle,,
15,,
.,,
10,,
:,,
questo,,
",",,
infatti,,
",",,
è,,
il,,
l,,
',,
orario,,
durante,,
il,,
quale,,
ho,,
lasciato,,
incustodita,,
l,,
',,
auto,,
per,,
salire,,
velocemente,,
a,,
prendere,,
una,,
borsa,,
.,,
Poi,,
",",,
alle,,
15,,
.,,
33,,
i,,
malviventi,,
hanno,,
provato,,
a,,
prelevare,,
soldi,,
con,,
la,,
carta,,
di,,
credito,,
ad,,
uno,,
sportello,,
bancomat,,
che,,
",",,
a,,
causa,,
di,,
un,,
errore,,
nel,,
digitare,,
il,,
pin,,
",",,
ha,,
ritirato,,
il,,
documento,,
senza,,
restituirlo,,
.,,
Ho,,
fatto,,
richiesta,,
di,,
monitoraggio,,
di,,
quanto,,
ripreso,,
dalle,,
telecamere,,
di,,
videosorveglianza,,
della,,
banca,,
»,,
.,,
